callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
WGNC,day_2,0.051163299358449876,WGNC_2_D_as3.kml,35.2755555555556,-81.2011111111111,1450.0,1.0,Southeast,NC,GASTONIA,"SN RADIO, LLC"
WGIG,day_0.5,17.961955114384182,WGIG_0.5_D_as1.kml,31.1688333333333,-81.5370555555556,1440.0,1.0,Southeast,GA,BRUNSWICK,"IHM LICENSES, LLC"
KTRH,night_2,22.500782779650763,KTRH_2_N_as1.kml,29.9658333333333,-94.9422222222222,740.0,50.0,Gulf Coast,TX,HOUSTON,"IHM LICENSES, LLC"
WLMR,day_2,0.06498092238325626,WLMR_2_D_as3.kml,35.0483333333333,-85.2738888888889,1450.0,1.0,Mid-South,TN,CHATTANOOGA,"GRACE MEDIA, INC."
WNVY,day_0.5,7.269650354748592,WNVY_0.5_D_as1.kml,30.5799166666667,-87.2883055555556,1070.0,0.028,Southeast,FL,CANTONMENT,PENSACOLA RADIO CORPORATION
KVIV,day_0.5,0.5419245361117646,KVIV_0.5_D_as1.kml,31.7603888888889,-106.436083333333,1340.0,1.0,Gulf Coast,TX,EL PASO,EL PASO Y JUAREZ COMPANERISMO-CRISTIANO
KYMN,day_2,0.717708942713216,KYMN_2_D_as1.kml,44.4866388888889,-93.1055,1080.0,1.0,Upper Midwest,MN,NORTHFIELD,"R.R. Larson & Associates, LLC"
KBED,day_0.5,14.212027243105695,KBED_0.5_D_as1.kml,30.0616111111111,-93.9807222222222,1510.0,5.0,Gulf Coast,TX,NEDERLAND,CUMULUS LICENSING LLC
KRNT,night_2,1.4478100169217214,KRNT_2_N_as1.kml,41.558611111111105,-93.5791666666667,1350.0,5.0,Plains,IA,DES MOINES,"SAGA COMMUNICATIONS OF IOWA, LLC"
WGHN,night_2,0.11124387208838016,WGHN_2_N_as1.kml,,,,,Unknown,,,
KRUI,night_2,0.10658296896144748,KRUI_2_N_as3.kml,33.3213888888889,-105.59,1490.0,1.0,Southwest,NM,RUIDOSO DOWNS,VILLAGE OF RUIDOSO NEW MEXICO
